"","OI","ON","OO","OW","TI","TN","TO","TW"
"Intercept",1.96420092566697,0.218710679911896,0.569208876339403,3.5164778078268,1.02295401181439,0.877213732251905,2.87098760981694,0
"block_touched",0.134365865796872,0.786219303611718,0.240036960493333,0.0209625504624729,0.497945581125649,-0.0483258677709581,0.296914424679575,0
"attack_typeOffspeed",0.181972277754595,0.354836093484707,0.203172631243346,-0.413916446602903,1.00527281417972,0.175011160300003,0.495063484321503,0
"attack_typeUnknown",-0.117544913956181,0.00553685342298197,-0.0418147709147159,-0.699519965892499,0.322549597991849,-0.148970634752253,-0.162315359758011,0
"time_to_touch",0.146726016903119,0.148430130972248,0.0868070544961385,-0.0608629204174241,0.877024478539787,0.220277618542899,0.401554758870472,0
"distance",0.0918762211882315,0.0722972368413183,0.0370063429851597,0.0694782324488977,0.315929425481233,0.0888597209275421,0.139524556337087,0
