NCAA,Rich Kern,Volleymetrics,Conference_2019,Conference_2020
UNI,Northern Iowa,University of Northern Iowa,Missouri Valley,MVC
UNLV,UNLV,"University of Nevada, Las Vegas",Mountain West,Mountain West
USC Upstate,South Carolina Upstate,University of South Carolina Upstate,Big South,Big South
UT Arlington,UT Arlington,University of Texas at Arlington,Sun Belt,Sun Belt
UT Martin,UT Martin,University of Tennessee at Martin,Ohio Valley,OVC
Utah,Utah,University of Utah,Pac-12,Pac-12
Utah St.,Utah State,Utah State University,Mountain West,Mountain West
Utah Valley,Utah Valley,Utah Valley University,Western Athletic,WAC
UTEP,UTEP,University of Texas at El Paso,Conference USA,C-USA
UTRGV,UT Rio Grande Valley,"University of Texas, Rio Grande Valley",Western Athletic,WAC
UTSA,UTSA,University of Texas at San Antonio,Conference USA,C-USA
Valparaiso,Valparaiso,Valparaiso University,Missouri Valley,MVC
VCU,VCU,Virginia Commonwealth University,Atlantic 10,Atlantic 10
Villanova,Villanova,Villanova University,Big East,Big East
Virginia,Virginia,University of Virginia,Atlantic Coast,ACC
Virginia Tech,Virginia Tech,Virginia Tech,Atlantic Coast,ACC
Wake Forest,Wake Forest,Wake Forest University,Atlantic Coast,ACC
Washington,Washington,University of Washington,Pac-12,Pac-12
Washington St.,Washington State,Washington State University,Pac-12,Pac-12
Weber State,Weber State,Weber State University,Big Sky,Big Sky
West Virginia,West Virginia,West Virginia University,Big 12,Big 12
Western Caro.,Western Carolina,Western Carolina University,Southern,SoCon
Western Ill.,Western Illinois,Western Illinois University,The Summit League,Summit League
Western Ky.,Western Kentucky,Western Kentucky University,Conference USA,C-USA
Western Mich.,Western Michigan,Western Michigan University,Mid-American,MAC
Wichita St.,Wichita State,Wichita State University,American Athletic,AAC
William & Mary,William & Mary,College of William & Mary,Colonial Athletic Association,CAA
Winthrop,Winthrop,Winthrop University,Big South,Big South
Wisconsin,Wisconsin,University of Wisconsin-Madison,Big Ten,Big Ten
Wofford,Wofford,Wofford College,Southern,SoCon
Wright State,Wright State,Wright State University,Horizon League,Horizon
Wyoming,Wyoming,University of Wyoming,Mountain West,Mountain West
Xavier,Xavier,Xavier University,Big East,Xavier
Yale,Yale,Yale University,Ivy League,Ivy League
Youngstown St.,Youngstown State,Youngstown State University,Horizon League,Horizon
